overture_id,business_name,website_url,phone,email_public,address,locality,postcode,region,country,overture_category,overture_category_hierarchy,overture_confidence,relevance_score,source_type,source_release
6725f7ec-c3d7-4d47-b940-58f33389af6b,5 Star SEO & Web Design,https://5star-seo.com/,0416 598 556,,84 Parkyn Pde,Mooloolaba,4557,QLD,AU,advertising_agency,"[services_and_business, professional_service, advertising_agency]",0.77,14,overture-maps,2026-08-19.0
2a283378-cef4-4122-8942-7f2cf93553f8,CJ&CO Digital Marketing Agency,https://cjco.com.au/,(07) 3184 5443,,Nerang Street,Gold Coast,4215,QLD,AU,advertising_agency,"[services_and_business, professional_service, advertising_agency]",0.77,14,overture-maps,2026-08-19.0
cca15971-04c4-4749-b447-ceb8eb449099,"WP Speed Fix - Technical SEO, Site Speed & Core Web Vitals Consulting",https://wpspeedfix.com/,+61734850633,,Level 2/194 Varsity Parade,Gold Coast,4227,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.8962348830699921,13,overture-maps,2026-08-19.0
473fcf9f-f5b1-42e3-97c8-9c9877c2364e,Buzzword Digital Marketing Agency,https://buzzword.net.au/,+611300729098,sales@buzzword.net.au,3/42 Lawrence Dr,Gold Coast,4211,QLD,AU,internet_marketing_service,"[services_and_business, professional_service, internet_marketing_service]",0.8465009263157844,13,overture-maps,2026-08-19.0
79a66ce1-c863-4641-bbdc-1421e180bb8b,Static Wave Web & Digital Marketing,https://staticwave.com.au/,(07) 5493 0820,,84 Kings Rd,Glass House Mountains,4518,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.77,13,overture-maps,2026-08-19.0
3c324d29-625e-4c8d-a700-bad182dee9ec,Trondez - Website Development & Graphic Design,https://trondez.com/,+61458240123,joy@trondez.com,41 Kanangra St,Brisbane,4301,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.8834598821401596,12,overture-maps,2026-08-19.0
d9847a62-f090-44ed-a8c3-6f22bf1d4de4,D Dot Design & Websites,https://ddotdesign.com.au/,+61404061639,,28 Gotha St,Brisbane,4163,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.8702335032820702,12,overture-maps,2026-08-19.0
eda279ee-7ef3-4f9b-973a-14c13e0e248c,No Nonsense Website Design,https://nncomputers.com/,+61402133866,nn@nncomputers.com,8 Shearwater Ct,Brisbane,4508,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.8482705065608025,12,overture-maps,2026-08-19.0
7e63d1c6-bbc9-4df9-86a3-20ed78341136,Cairns Website Design,https://cairns-website-design.com/,+61410307116,info@cairnswebsites.com,516-518 Varley St,Cairns,4878,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.8346508350968361,12,overture-maps,2026-08-19.0
4c149a0b-8149-4ae2-b0f0-ef9c9f3c2f59,Boost Digital Marketing,https://boostdigitalmarketing.com.au/,0414 806 443,,19 Hastings Pl,Buderim,4556,QLD,AU,web_designer,"[services_and_business, design_service, web_designer]",0.77,12,overture-maps,2026-08-19.0
